ticker,label,ocf,sh,sp,bb
VRTX,Q4-25,498.0,254.0,454.36,1.96
VRTX,Q3-25,1241.0,256.0,391.64,2.59
VRTX,Q2-25,1073.0,257.0,445.2,1.58
VRTX,Q1-25,818.9,257.0,484.82,1.44
VRTX,Q4-24,584.6,258.0,402.7,1.42
